from,to,n
Caldwell County,Parker County,0
Caldwell County,Randall County,0
Caldwell County,Burnet County,0
Caldwell County,Freestone County,0
Caldwell County,Crane County,0
Caldwell County,Bailey County,0
Caldwell County,Blanco County,0
Caldwell County,Ector County,44
Caldwell County,Hill County,0
Caldwell County,Refugio County,0
Caldwell County,Sabine County,0
Caldwell County,Denton County,0
Caldwell County,Goliad County,0
Caldwell County,Navarro County,0
Caldwell County,Comanche County,0
Caldwell County,Throckmorton County,0
Caldwell County,Uvalde County,0
Caldwell County,Nolan County,0
Caldwell County,Hale County,0
Caldwell County,Smith County,0
Caldwell County,Lipscomb County,0
Caldwell County,Titus County,0
Caldwell County,Jack County,0
Caldwell County,Montgomery County,0
Caldwell County,Wichita County,0
Caldwell County,Lamb County,0
Caldwell County,Angelina County,0
Caldwell County,Starr County,0
Caldwell County,Hemphill County,0
Caldwell County,Bandera County,0
Caldwell County,Jasper County,0
Caldwell County,Palo Pinto County,0
Caldwell County,Zavala County,0
Caldwell County,Clay County,0
Caldwell County,Victoria County,0
Caldwell County,Hartley County,0
Caldwell County,McCulloch County,0
Caldwell County,Ellis County,0
Caldwell County,Fort Bend County,0
Caldwell County,Rains County,0
Caldwell County,Lynn County,0
Caldwell County,Stephens County,0
Caldwell County,Red River County,0
Caldwell County,Terry County,0
Caldwell County,Brewster County,0
Caldwell County,Limestone County,0
Caldwell County,Travis County,4625
Caldwell County,Upton County,0
Caldwell County,Bowie County,0
Caldwell County,Knox County,0
Caldwell County,Somervell County,0
Caldwell County,Sherman County,0
Caldwell County,Winkler County,0
Caldwell County,Andrews County,0
Caldwell County,Matagorda County,0
Caldwell County,Coryell County,11
Caldwell County,Colorado County,0
Caldwell County,Callahan County,0
Caldwell County,Morris County,0
Caldwell County,Bee County,0
Caldwell County,Franklin County,0
Caldwell County,Cass County,0
Caldwell County,Taylor County,0
Caldwell County,McLennan County,0
Caldwell County,Wharton County,0
Caldwell County,Robertson County,0
Caldwell County,Cameron County,0
Caldwell County,Van Zandt County,0
Caldwell County,Yoakum County,0
Caldwell County,Crockett County,0
Caldwell County,Panola County,0
Caldwell County,Terrell County,0
Caldwell County,Lee County,0
Caldwell County,Walker County,0
Caldwell County,Hidalgo County,0
Caldwell County,Collingsworth County,0
Caldwell County,Lamar County,0
Caldwell County,Live Oak County,0
Caldwell County,Jim Hogg County,0
Caldwell County,Dallam County,0
Caldwell County,Dallas County,22
Caldwell County,Gray County,0
Caldwell County,Chambers County,0
Caldwell County,Hardin County,0
Caldwell County,Roberts County,0
Caldwell County,Scurry County,0
Caldwell County,Rockwall County,0
Caldwell County,Brazos County,4
Caldwell County,Calhoun County,0
Caldwell County,King County,0
Caldwell County,Grayson County,0
Caldwell County,Mason County,0
Caldwell County,Parmer County,0
Caldwell County,Shelby County,0
Caldwell County,El Paso County,0
Caldwell County,Hays County,3223
Caldwell County,Tarrant County,40
